1038,JOHN LUNGAHO,1:03:21,0:06:21,2590of 8179,2395of 6534,50 to 54 yrs Male
1039,SATHYANARAYANAN SOMASUNDARAM,0:53:32,0:05:22,1048of 8179,987of 6534,40 to 44 yrs Male
1042,BALAMURUGAN EKAMBARAM,1:25:00,0:08:30,6217of 8179,5325of 6534,45 to 49 yrs Male
1044,GAUTAM SINGH,1:00:02,0:06:01,1994of 8179,1861of 6534,30 to 34 yrs Male
1048,PRASANTH SAKHAMURI,1:18:22,0:07:51,5264of 8179,4601of 6534,55 to 59 yrs Male
1053,SRINIVAS CS,0:46:20,0:04:38,342of 8179,323of 6534,45 to 49 yrs Male
1054,RAHUL NAGARMAT,1:11:18,0:07:08,4038of 8179,3629of 6534,45 to 49 yrs Male
1059,ASHWIN DHUNDALE,0:47:32,0:04:46,441of 8179,417of 6534,35 to 39 yrs Male
1061,SRINIVAS RAMANUJAM,0:46:11,0:04:38,335of 8179,317of 6534,40 to 44 yrs Male
1062,DEVARAJA K,0:49:35,0:04:58,633of 8179,597of 6534,50 to 54 yrs Male
1063,KAUSHIK TANNA,1:14:49,0:07:29,4669of 8179,4153of 6534,40 to 44 yrs Male
1064,SANTHOSH KUMAR,1:02:14,0:06:14,2387of 8179,2218of 6534,40 to 44 yrs Male
1068,AJAY REDDY,0:46:42,0:04:41,375of 8179,355of 6534,35 to 39 yrs Male
1072,CHANDHER SHEKAR R,0:55:31,0:05:34,1292of 8179,1213of 6534,25 to 29 yrs Male
1076,BHADRESH SHIVASHANKAR,0:59:11,0:05:56,1846of 8179,1721of 6534,45 to 49 yrs Male
1077,PRANSHU TOPAL,0:49:30,0:04:57,623of 8179,588of 6534,40 to 44 yrs Male
1082,SUNEEL KUMAR KOYI,0:38:26,0:03:51,67of 8179,67of 6534,35 to 39 yrs Male
1086,ABHIRUP CHATTERJEE,1:22:36,0:08:16,5936of 8179,5119of 6534,40 to 44 yrs Male
1088,MANISH PANDE,1:03:46,0:06:23,2669of 8179,2469of 6534,45 to 49 yrs Male
1090,SACHIN JAIPRAKASH,0:51:29,0:05:09,822of 8179,778of 6534,30 to 34 yrs Male
1091,WINSTON SERRAO,1:25:20,0:08:32,6261of 8179,5355of 6534,40 to 44 yrs Male
1093,ANUPAM MISHRA,1:01:19,0:06:08,2226of 8179,2066of 6534,50 to 54 yrs Male
1094,KARTHIK NISCHAL,0:49:25,0:04:57,611of 8179,578of 6534,35 to 39 yrs Male
1098,PRALAY SANTRA,1:19:46,0:07:59,5504of 8179,4788of 6534,35 to 39 yrs Male
1099,SATISH CHANDRA,1:30:37,0:09:04,6896of 8179,5798of 6534,30 to 34 yrs Male
1104,NAGARAJ RAMANNA,1:06:31,0:06:40,3179of 8179,2894of 6534,55 to 59 yrs Male
1134,AJIT ZACHARIAH,0:54:46,0:05:29,1201of 8179,1130of 6534,50 to 54 yrs Male
1137,MANISH BHATNAGAR,0:54:57,0:05:30,1222of 8179,1150of 6534,50 to 54 yrs Male
1138,VARUN BOKADIA,0:44:03,0:04:25,227of 8179,218of 6534,35 to 39 yrs Male
1140,SWAYAM RAY,1:22:17,0:08:14,5894of 8179,5088of 6534,30 to 34 yrs Male
1141,SANJEEVI KUMAR,1:16:52,0:07:42,5029of 8179,4423of 6534,50 to 54 yrs Male
1145,RAJESH CHOUDHARY,0:48:26,0:04:51,519of 8179,493of 6534,35 to 39 yrs Male
